date,ticker,inst_net_value,other_corp_net_value,retail_net_value,foreign_net_value,total_net_value
2023-01-02,A1001,-266420384362,36849545095,222969530228,6601309039,0
2023-01-03,A1001,-355786681450,-10793617181,274820113950,91760184681,0
2023-01-04,A1001,-155571962,35423693015,-295934452202,260666331149,0
2023-01-05,A1001,-351706351490,13091171095,-164544528705,503159709100,0
2023-01-06,A1001,243733364898,6227820729,-564021112602,314059926975,0
2023-01-09,A1001,741931555360,1502932574,-1395182900215,651748412281,0
2023-01-10,A1001,296871601813,4126308211,-298768163729,-2229746295,0
2023-01-11,A1001,174550637628,-1783262007,-206389446341,33622070720,0
2023-01-12,A1001,-437128069092,1699955344,-48896312759,484324426507,0
2023-01-13,A1001,212673442493,-3460386649,-777380012351,568166956507,0
2023-01-16,A1001,221760115487,-18999654365,-490635469163,287875008041,0
2023-01-17,A1001,-309599208464,4291124863,128211145242,177096938359,0
2023-01-18,A1001,-216606531678,-5207673936,148970003594,72844202020,0
2023-01-19,A1001,-314781166766,4700395859,-260222916333,570303687240,0
2023-01-20,A1001,9140626016,6541700587,-246515509445,230833182842,0
2023-01-25,A1001,27569236426,-1946673386,-790316852212,764694289172,0
2023-01-26,A1001,247197174161,-6897353234,-1052283311304,811983490377,0
2023-01-27,A1001,223472347820,-8233647010,-1184837159520,969598458710,0
2023-01-30,A1001,-412396266611,-65929743316,461934929411,16391080516,0
2023-01-31,A1001,155986944262,9806333825,307562092182,-473355370269,0
2023-02-01,A1001,-194933587855,14946024435,-18286350406,198273913826,0
2023-02-02,A1001,-277564748210,77453481122,-354988673975,555099941063,0
2023-02-03,A1001,-194097408740,23695499428,-416284321787,586686231099,0
2023-02-06,A1001,-506555519572,26373819177,790363931834,-310182231439,0
2023-02-07,A1001,-278769775728,7348584877,326749537993,-55328347142,0
2023-02-08,A1001,3996254775,-19502782624,-563986837795,579493365644,0
2023-02-09,A1001,-386297647459,21234662463,214837750517,150225234479,0
2023-02-10,A1001,-626916138858,20113587578,554865761214,51936790066,0
2023-02-13,A1001,-411776898792,-130384360,342548928758,69358354394,0
2023-02-14,A1001,301791681951,22476342682,-385452768648,61184744015,0
2023-02-15,A1001,-778198391039,27668732878,1016278291832,-265748633671,0
2023-02-16,A1001,848483656092,24461270302,-936636245244,63691318850,0
2023-02-17,A1001,-383364023719,39611133709,223142740889,120610149121,0
2023-02-20,A1001,172812524741,45759784851,93390639480,-311962949072,0
2023-02-21,A1001,-93937427474,39929860170,33458232141,20549335163,0
2023-02-22,A1001,-686572430166,-7844671622,885619893307,-191202791519,0
2023-02-23,A1001,300357837718,22308676664,-331742672815,9076158433,0
2023-02-24,A1001,-95742736699,34568890157,359830615948,-298656769406,0
2023-02-27,A1001,-419993179569,65963087770,675724500493,-321694408694,0
2023-02-28,A1001,410444315754,23425857346,-145287291999,-288582881101,0
2023-03-02,A1001,-90257918044,-39466921010,-404297460413,534022299467,0
2023-03-03,A1001,33558093728,34515404977,21997023131,-90070521836,0
2023-03-06,A1001,458255627220,6035480599,-787681090075,323389982256,0
2023-03-07,A1001,-134610749647,16518338184,-216706676546,334799088009,0
2023-03-08,A1001,-951379538172,-55684032936,942829095566,64234475542,0
2023-03-09,A1001,579864687878,31380577393,360806322224,-972051587495,0
2023-03-10,A1001,-237125513088,49743659734,513207782291,-325825928937,0
2023-03-13,A1001,307724447013,2411595043,-328059038704,17922996648,0
2023-03-14,A1001,26112457174,47351571797,564947161297,-638411190268,0
2023-03-15,A1001,290854530806,35030611875,-247750503004,-78134639677,0
2023-03-16,A1001,-2098699039,21331915118,70255197293,-89488413372,0
2023-03-17,A1001,81570314872,19253019301,-174335830466,73512496293,0
2023-03-20,A1001,106743918178,10910158004,90055456323,-207709532505,0
2023-03-21,A1001,114019690160,25226844464,-83908965909,-55337568715,0
2023-03-22,A1001,142784431226,1190972749,-347093031514,203117627539,0
2023-03-23,A1001,214887083171,-15534305275,-412223442655,212870664759,0
2023-03-24,A1001,-215337762391,-94648022940,181709657618,128276127713,0
2023-03-27,A1001,69706438069,-9287316348,34375535557,-94794657278,0
2023-03-28,A1001,323063218659,-667693290,-279640574224,-42754951145,0
2023-03-29,A1001,328328550149,-19096473093,-333949553630,24717476574,0
2023-03-30,A1001,-428858957618,276604325990,-111452342806,263706974434,0
2023-03-31,A1001,36938281445,726198952,-721671029874,684006549477,0
2023-04-03,A1001,-341204923210,17408057279,486214710767,-162417844836,0
2023-04-04,A1001,214166396805,16121089355,80558586599,-310846072759,0
2023-04-05,A1001,301207942960,-6345227627,-276283287877,-18579427456,0
2023-04-06,A1001,-498106407994,29837205512,956127980550,-487858778068,0
2023-04-07,A1001,286288782874,36691940937,-1016411372708,693430648897,0
2023-04-10,A1001,-28340333114,-27578202035,-673611948024,729530483173,0
2023-04-11,A1001,294827688169,13301078313,-491615242803,183486476321,0
2023-04-12,A1001,-146689436501,22023108997,-108822315329,233488642833,0
2023-04-13,A1001,497599975864,29281027549,-180492525944,-346388477469,0
2023-04-14,A1001,261436657452,7989306212,-436377194725,166951231061,0
2023-04-17,A1001,-323963823969,-301757600,337783668966,-13518087397,0
2023-04-18,A1001,-710150562071,-44574840079,363454241285,391271160865,0
2023-04-19,A1001,44820129822,901647899,-38497031148,-7224746573,0
2023-04-20,A1001,-75824732930,6568815809,-87474723875,156730640996,0
2023-04-21,A1001,-84067959927,-1113429534,-194902143346,280083532807,0
2023-04-24,A1001,104335931039,15232597474,-82804898268,-36763630245,0
2023-04-25,A1001,58703069,-6425504034,-2256127154,8622928119,0
2023-04-26,A1001,-154962435569,24484305757,221876593242,-91398463430,0
2023-04-27,A1001,-485106853178,15680381473,186820560800,282605910905,0
2023-04-28,A1001,-355056353256,-81408925834,136008158591,300457120499,0
2023-05-02,A1001,228515111851,-16178439496,-554470216078,342133543723,0
2023-05-03,A1001,-263296523446,5388549174,348478029994,-90570055722,0
2023-05-04,A1001,-269388645728,2102228320,226686907429,40599509979,0
2023-05-08,A1001,449450438150,-1804653993,-698089545405,250443761248,0
2023-05-09,A1001,63625781672,-2106256412,-177406584251,115887058991,0
2023-05-10,A1001,-111132074645,-11927314471,5925875335,117133513781,0
2023-05-11,A1001,84778722112,171834930,-84921466428,-29090614,0
2023-05-12,A1001,-106637069805,-3178283082,357669949458,-247854596571,0
2023-05-15,A1001,144902429770,10616256936,-102938951711,-52579734995,0
2023-05-16,A1001,-57492359093,-42890323871,-128120576786,228503259750,0
2023-05-17,A1001,157436270458,9574303522,-331833951582,164823377602,0
2023-05-18,A1001,-81705726857,-7711612592,-446636295600,536053635049,0
2023-05-19,A1001,558189115976,-12291416021,-1100768240002,554870540047,0
2023-05-22,A1001,533043093661,-40962950952,-787876193809,295796051100,0
2023-05-23,A1001,399381343204,-7009673472,-338430303849,-53941365883,0
2023-05-24,A1001,-185400201263,6234211933,133128553850,46037435480,0
2023-05-25,A1001,-614521014094,5151018574,383223090532,226146904988,0
2023-05-26,A1001,-506191680739,8997023002,-413072600495,910267258232,0
2023-05-30,A1001,-112615399766,-17806843137,-542081387082,672503629985,0
2023-05-31,A1001,-287215146264,20356843699,46669811555,220188491010,0
2023-06-01,A1001,-384707685880,25108225289,358316514967,1282945624,0
2023-06-02,A1001,199982032636,-3606026982,-576199866415,379823860761,0
2023-06-05,A1001,452841891047,4659786522,-434543055997,-22958621572,0
2023-06-07,A1001,348797936619,-11031593264,-295047492167,-42718851188,0
2023-06-08,A1001,318582119910,-1707017824,66436288731,-383311390817,0
2023-06-09,A1001,366456119821,-18474720647,-824044829470,476063430296,0
2023-06-12,A1001,-14935582944,9035325249,345883107545,-339982849850,0
2023-06-13,A1001,133805471196,-21686501874,-249134601581,137015632259,0
2023-06-14,A1001,-128394063390,-23563797783,39312105524,112645755649,0
2023-06-15,A1001,-190529589592,15503485817,237051569542,-62025465767,0
2023-06-16,A1001,-214444978810,-5944919476,-208730073636,429119971922,0
2023-06-19,A1001,-77326646037,7531685128,430090784593,-360295823684,0
2023-06-20,A1001,-134811547831,6094835934,408336483074,-279619771177,0
2023-06-21,A1001,-133257020022,-290540364333,620753738787,-196956354432,0
2023-06-22,A1001,214064469718,1005730956,-105564448123,-109505752551,0
2023-06-23,A1001,-444658031475,32793813417,596228049678,-184363831620,0
2023-06-26,A1001,229842776928,-17615343339,-224709366950,12481933361,0
2023-06-27,A1001,16061545534,28025423033,58702039525,-102789008092,0
2023-06-28,A1001,58791986147,32190571595,301984127389,-392966685131,0
2023-06-29,A1001,-179115545809,-9195277770,130634228363,57676595216,0
2023-06-30,A1001,229989771966,15280950300,-70154039623,-175116682643,0
2023-07-03,A1001,771128356761,-6023775205,-750265026104,-14839555452,0
2023-07-04,A1001,-298331876448,62285292633,294231314142,-58184730327,0
2023-07-05,A1001,-614309095615,36042646635,321347072408,256919376572,0
2023-07-06,A1001,-421568707176,36637884023,551302438833,-166371615680,0
2023-07-07,A1001,-765049611338,40253852047,766216252941,-41420493650,0
2023-07-10,A1001,-190079509098,32105549517,311353952762,-153379993181,0
2023-07-11,A1001,166389104339,-1418199597,-428291049415,263320144673,0
2023-07-12,A1001,28439542389,21498434822,-266962779501,217024802290,0
2023-07-13,A1001,507853355084,-996946036,-718960217754,212103808706,0
2023-07-14,A1001,775688802259,-61171057987,-1328958691769,614440947497,0
2023-07-17,A1001,-231308628016,-26089585205,425784692381,-168386479160,0
2023-07-18,A1001,-331511199097,10255917620,477340085664,-156084804187,0
2023-07-19,A1001,-325666229365,6248661257,366842393347,-47424825239,0
2023-07-20,A1001,-316434395652,805575953,150395367783,165233451916,0
2023-07-21,A1001,15353799142,-7406308834,281208711073,-289156201381,0
2023-07-24,A1001,-304634417597,4123950159,471805487121,-171295019683,0
2023-07-25,A1001,-68911122236,55647152442,1376328343224,-1363064373430,0
2023-07-26,A1001,-65982473843,19244638492,993208478192,-946470642841,0
2023-07-27,A1001,435056153149,-8270570799,-507095039012,80309456662,0
2023-07-28,A1001,-456468854074,542402868,392137695080,63788756126,0
2023-07-31,A1001,-92093383623,38874069097,343954076102,-290734761576,0
2023-08-01,A1001,333204109967,25809785481,-550875834120,191861938672,0
2023-08-02,A1001,-686620099345,-19266215740,773449064522,-67562749437,0
2023-08-03,A1001,-665854220187,5448057510,809582821814,-149176659137,0
2023-08-04,A1001,-235244574807,2632542855,474882734584,-242270702632,0
2023-08-07,A1001,-328566486131,17426501578,28117361354,283022623199,0
2023-08-08,A1001,-439720177991,22464141745,556908631641,-139652595395,0
2023-08-09,A1001,-294277028307,17829215295,-87609785668,364057598680,0
2023-08-10,A1001,-90686237355,63054771284,260033395125,-232401929054,0
2023-08-11,A1001,-6224384134,14457300340,182927318195,-191160234401,0
2023-08-14,A1001,-332780412875,23495927695,427697082308,-118412597128,0
2023-08-16,A1001,-358186956533,39035354940,322451894771,-3300293178,0
2023-08-17,A1001,-97830925105,9430752651,86129805577,2270366877,0
2023-08-18,A1001,-284309929296,30658387480,358349652449,-104698110633,0
2023-08-21,A1001,26973521187,18687276440,-11328806555,-34331991072,0
2023-08-22,A1001,-6077773615,-29114224772,50961236597,-15769238210,0
2023-08-23,A1001,-88536052734,-15001683813,80579090587,22958645960,0
2023-08-24,A1001,293567051960,-7737804956,-395331758237,109502511233,0
2023-08-25,A1001,-176228722100,-10166943736,379578449946,-193182784110,0
2023-08-28,A1001,304779448313,-9346403909,-270879973359,-24553071045,0
2023-08-29,A1001,65346051254,47932953155,47729684771,-161008689180,0
2023-08-30,A1001,176514730150,22413484028,-178047129509,-20881084669,0
2023-08-31,A1001,160701417920,40471015885,11987950890,-213160384695,0
2023-09-01,A1001,-218012302145,25659104647,-176258789391,368611986889,0
2023-09-04,A1001,-42666339267,23738056801,-388234839495,407163121961,0
2023-09-05,A1001,-150527124581,29587333373,-40313808306,161253599514,0
2023-09-06,A1001,-305686388273,34728472266,339897057601,-68939141594,0
2023-09-07,A1001,-274955813118,31488821675,247014659126,-3547667683,0
2023-09-08,A1001,108282914037,28878310246,217047964691,-354209188974,0
2023-09-11,A1001,34041627465,19276371880,-75375405323,22057405978,0
2023-09-12,A1001,54390088340,21100129738,219681682323,-295171900401,0
2023-09-13,A1001,54512211179,21910878991,-189613936421,113190846251,0
2023-09-14,A1001,1223251617523,7368942227,-710969070065,-519651489685,0
2023-09-15,A1001,1067975780361,12337109738,-1127676824264,47363934165,0
2023-09-18,A1001,-14299457067,-1271394555,391466624096,-375895772474,0
2023-09-19,A1001,-384564883556,65465399832,316482460578,2617023146,0
2023-09-20,A1001,51278288706,26131110635,88929912256,-166339311597,0
2023-09-21,A1001,-722057124859,20566532071,768093646561,-66603053773,0
2023-09-22,A1001,-97903751745,16235693248,206952651215,-125284592718,0
2023-09-25,A1001,69945937884,17197938814,46634426296,-133778302994,0
2023-09-26,A1001,-472919175931,18976059593,494094003271,-40150886933,0
2023-09-27,A1001,-78821633442,15995194607,90144103268,-27317664433,0
2023-10-04,A1001,-449482679316,34661489589,832662623422,-417841433695,0
2023-10-05,A1001,-6013047177,-41912616910,319014129229,-271088465142,0
2023-10-06,A1001,177110363980,7099601785,141156108739,-325366074504,0
2023-10-10,A1001,589804902730,872537846,-382069848545,-208607592031,0
2023-10-11,A1001,622155912761,8476414289,-509750847808,-120881479242,0
2023-10-12,A1001,262436802231,-9070476319,-191566723436,-61799602476,0
2023-10-13,A1001,-284438802046,19496371850,422100205737,-157157775541,0
2023-10-16,A1001,8681152061,6979031934,194380589550,-210040773545,0
2023-10-17,A1001,-137531661024,-12046105248,-277900327618,427478093890,0
2023-10-18,A1001,-48175001753,-16658640041,-278575414602,343409056396,0
2023-10-19,A1001,-247310836068,-8593825256,388539085296,-132634423972,0
2023-10-20,A1001,-175845869017,-147833713240,111816022306,211863559951,0
2023-10-23,A1001,70542958511,21139362115,164610670624,-256292991250,0
2023-10-24,A1001,36194540381,47499523971,71508300764,-155202365116,0
2023-10-25,A1001,-63128064474,43944673657,361758146450,-342574755633,0
2023-10-26,A1001,110829026885,45426468797,322672081264,-478927576946,0
2023-10-27,A1001,221216432154,56556476841,101355412983,-379128321978,0
2023-10-30,A1001,42380059267,46250207416,-26020226368,-62610040315,0
2023-10-31,A1001,-72068894001,52897010378,343356211871,-324184328248,0
2023-11-01,A1001,463114917225,42269801884,-378442729113,-126941989996,0
2023-11-02,A1001,272657002205,23839302348,-436485348885,139989044332,0
2023-11-03,A1001,163360812451,6070213476,-304274663245,134843637318,0
2023-11-06,A1001,222222955277,8959463689,-936046859434,704864440468,0
2023-11-07,A1001,-382003041930,-490672457721,458951355107,413724144544,0
2023-11-08,A1001,75721794911,-34492730344,-27879979918,-13349084649,0
2023-11-09,A1001,28360146036,2577978306,-309689389592,278751265250,0
2023-11-10,A1001,-103816763545,26959225716,27141591312,49715946517,0
2023-11-13,A1001,-7441845583,17740082381,-23414232188,13115995390,0
2023-11-14,A1001,626912884512,10747913156,-543862390486,-93798407182,0
2023-11-15,A1001,1091553984298,-25713858095,-1615372866409,549532740206,0
2023-11-16,A1001,-62046018546,-1190373547,-392741398704,455977790797,0
2023-11-17,A1001,-241221823693,21304296597,292964585486,-73047058390,0
2023-11-20,A1001,437881282163,4561945013,-539382971439,96939744263,0
2023-11-21,A1001,110170214654,-23395911954,-438296851264,351522548564,0
2023-11-22,A1001,-153080618410,15228218596,-5788762618,143641162432,0
2023-11-23,A1001,-81006427468,18164937499,-57056342355,119897832324,0
2023-11-24,A1001,42590459997,17764228205,152213631379,-212568319581,0
2023-11-27,A1001,251988820138,-3225728587,-140967705152,-107795386399,0
2023-11-28,A1001,573526321359,2640567584,-482039656852,-94127232091,0
2023-11-29,A1001,-138778490295,-10641698571,68607301554,80812887312,0
2023-11-30,A1001,257207149575,-4447039097,-375435240902,122675130424,0
2023-12-01,A1001,-414235181765,25219217068,566470906591,-177454941894,0
2023-12-04,A1001,171080424191,-16885216998,-413362720533,259167513340,0
2023-12-05,A1001,-176899890946,990149530,146568657781,29341083635,0
2023-12-06,A1001,240069110144,496484332,-95489605547,-145075988929,0
2023-12-07,A1001,-204925669405,13496861376,151552137017,39876671012,0
2023-12-08,A1001,437503104035,21260539291,-660050158808,201286515482,0
2023-12-11,A1001,163273493332,31597207239,-199531209375,4660508804,0
2023-12-12,A1001,593241065526,22978523674,-689245187765,73025598565,0
2023-12-13,A1001,94826375478,39379696543,-2709732722,-131496339299,0
2023-12-14,A1001,706143917907,18690717781,-1348253580367,623418944679,0
2023-12-15,A1001,305106297747,-8363535859,-1145610144314,848867382426,0
2023-12-18,A1001,-205246845623,2106270219,141193912832,61946662572,0
2023-12-19,A1001,66909132235,-6367500587,30786437898,-91328069546,0
2023-12-20,A1001,1154891192844,-32875161614,-1595223729405,473207698175,0
2023-12-21,A1001,39700792744,2829423368,-54512728029,11982511917,0
2023-12-22,A1001,238636362045,4027208927,-205925909736,-36737661236,0
2023-12-26,A1001,970166516657,3787524100,-1052182206981,78228166224,0
2023-12-27,A1001,-440070411410,9608458035,204316826854,226145126521,0
2023-12-28,A1001,660296872732,1945302068,-1357079352701,694837177901,0
2024-01-02,A1001,112165205550,4789535208,-343870377518,226915636760,0
2024-01-03,A1001,-1222478424264,1595791315,1314461036518,-93578403569,0
2024-01-04,A1001,-800059154599,15031393220,669936052754,115091708625,0
2024-01-05,A1001,-572825427647,17849570113,598805550604,-43829693070,0
2024-01-08,A1001,-437470262938,11075702427,253003263113,173391297398,0
2024-01-09,A1001,-64558686301,3930261677,-7540962126,68169386750,0
2024-01-10,A1001,-141299103243,-190513082713,353715858313,-21903672357,0
2024-01-11,A1001,-3029767531476,13356396520,718111913540,2298299221416,0
2024-01-12,A1001,-193870914795,6397836085,401723380956,-214250302246,0
2024-01-15,A1001,86828057865,8915783259,-47417861528,-48325979596,0
2024-01-16,A1001,-403792210102,534528448,582861615875,-179603934221,0
2024-01-17,A1001,-11238103470,62653916321,850890869477,-902306682328,0
2024-01-18,A1001,-18940939121,28880755988,121313653887,-131253470754,0
2024-01-19,A1001,-229395421066,-14257138859,-457867142406,701519702331,0
2024-01-22,A1001,-38795780554,-13337502284,-243169693232,295302976070,0
2024-01-23,A1001,205672111169,15562110233,-359528878687,138294657285,0
2024-01-24,A1001,-97730743825,-67161734040,92153564201,72738913664,0
2024-01-25,A1001,197165965802,4219121978,-248044298107,46659210327,0
2024-01-26,A1001,6851623453,6790321201,-391514685774,377872741120,0
2024-01-29,A1001,214902957610,-36248904784,-726325053520,547671000694,0
2024-01-30,A1001,192951091544,9411395339,-188796172903,-13566313980,0
2024-01-31,A1001,-3888069776,-1024487496,-81778777616,86691334888,0
2024-02-01,A1001,228639549443,-56751650029,-1210931240973,1039043341559,0
2024-02-02,A1001,647344242524,-82376467001,-2489627234134,1924659458611,0
2024-02-05,A1001,-724022499868,33475474480,511242942890,179304082498,0
2024-02-06,A1001,-229489180186,26873438812,-129393317604,332009058978,0
2024-02-07,A1001,626086265559,-33130598601,-1128918309992,535962643034,0
2024-02-08,A1001,305031304916,9689739168,-720215768832,405494724748,0
2024-02-13,A1001,490264070845,-34585164687,-1404472374885,948793468727,0
2024-02-14,A1001,-536223253010,18052378481,409414137574,108756736955,0
2024-02-15,A1001,-47730606262,30831039815,33099552139,-16199985692,0
2024-02-16,A1001,270579672398,12362413500,-841142039294,558199953396,0
2024-02-19,A1001,443320515350,-39734261749,-1017461606967,613875353366,0
2024-02-20,A1001,-344454448112,42782748195,193243168029,108428531888,0
2024-02-21,A1001,132277912056,33414714592,-100486894660,-65205731988,0
2024-02-22,A1001,74605598950,34080630658,-274404659876,165718430268,0
2024-02-23,A1001,-55477547986,21211987193,-115108408883,149373969676,0
2024-02-26,A1001,-85936333896,13516037500,-42307216920,114727513316,0
2024-02-27,A1001,-50684826748,-151086289322,167023390228,34747725842,0
2024-02-28,A1001,38503125927,54801097611,-570760123850,477455900312,0
2024-02-29,A1001,-513749738962,18491820528,319235333946,176022584488,0
2024-03-04,A1001,44534227547,-178911114715,-632730043244,767106930412,0
2024-03-05,A1001,-545147144953,61302159470,398327517630,85517467853,0
2024-03-06,A1001,-214058403348,53587262417,535346508903,-374875367972,0
2024-03-07,A1001,-23515318766,85870551054,263224555423,-325579787711,0
2024-03-08,A1001,697787363613,29963343799,-906542076433,178791369021,0
2024-03-11,A1001,-112459455848,37402250514,180343726784,-105286521450,0
2024-03-12,A1001,505483923122,44556825314,-178127286106,-371913462330,0
2024-03-13,A1001,-110253687387,28125093549,-251718169028,333846762866,0
2024-03-14,A1001,186478065769,180164166004,-838890702063,472248470290,0
2024-03-15,A1001,-60970947751,73976076261,1019313300005,-1032318428515,0
2024-03-18,A1001,225409959377,45782197371,-186491942889,-84700213859,0
2024-03-19,A1001,-701297446920,17454515683,922636363349,-238793432112,0
2024-03-20,A1001,586619789090,-32816220782,-1405421398643,851617830335,0
2024-03-21,A1001,1050626755705,-6902377309,-2914370470156,1870646091760,0
2024-03-22,A1001,-162991770212,28032908884,-530962597999,665921459327,0
2024-03-25,A1001,-290780764399,3034353484,330583694030,-42837283115,0
2024-03-26,A1001,482157224972,-16885304156,-1086065881025,620793960209,0
2024-03-27,A1001,144832473660,-83044461645,-353808903183,292020891168,0
2024-03-28,A1001,-244942287809,105900598723,64653974293,74387714793,0
2024-03-29,A1001,-286603572184,-8196523570,-488181307155,782981402909,0
2024-04-01,A1001,24728156407,21905126264,-314919033116,268285750445,0
2024-04-02,A1001,-348363309392,-30959841961,-627120735958,1006443887311,0
2024-04-03,A1001,-674598846463,-6480198629,677665988602,3413056490,0
2024-04-04,A1001,-14666134853,-8840101534,-564018835153,587525071540,0
2024-04-05,A1001,-470201520392,-28059915087,613622254364,-115360818885,0
2024-04-08,A1001,-112531115902,-534679030,-93335963366,206401758298,0
2024-04-09,A1001,-313183331695,24547543447,-18279171296,306914959544,0
2024-04-11,A1001,-1080260606349,-13671648509,31121208737,1062811046121,0
2024-04-12,A1001,-628447832356,20916985025,590888631730,16642215601,0
2024-04-15,A1001,-26670786908,21126477402,244281204894,-238736895388,0
2024-04-16,A1001,-236385439990,9814844696,494345426497,-267774831203,0
2024-04-17,A1001,-213859497938,18806364688,360123439092,-165070305842,0
2024-04-18,A1001,24653829001,5869110574,-604754715811,574231776236,0
2024-04-19,A1001,-667219591377,86323698059,924518037720,-343622144402,0
2024-04-22,A1001,783550352926,24240675523,-58289701400,-749501327049,0
2024-04-23,A1001,86531859901,-265705364151,203894130463,-24720626213,0
2024-04-24,A1001,362319323719,14843244796,-866210490512,489047921997,0
2024-04-25,A1001,-507126243200,-45290268148,836868237077,-284451725729,0
2024-04-26,A1001,68383583686,22702200008,-561532306772,470446523078,0
2024-04-29,A1001,330806172961,19124769004,-692179915671,342248973706,0
2024-04-30,A1001,283563451333,5012397258,-529781204264,241205355673,0
2024-05-02,A1001,-141785578589,-9960208234,145396843591,6348943232,0
2024-05-03,A1001,-6485441377,34825722578,-118157047298,89816766097,0
2024-05-07,A1001,774765274188,-41667620472,-1840380841179,1107283187463,0
2024-05-08,A1001,41134398071,-36341397503,-404373749308,399580748740,0
2024-05-09,A1001,-69130702258,9730900675,414034756954,-354634955371,0
2024-05-10,A1001,355503191394,-14987044060,-488717359353,148201212019,0
2024-05-13,A1001,16990075437,-16911812145,-17574848948,17496585656,0
2024-05-14,A1001,122643662844,-11945210870,-190807694936,80109242962,0
2024-05-16,A1001,593789205669,-54879455725,-964779168576,425869418632,0
2024-05-17,A1001,-149625651882,-328813248692,719386315032,-240947414458,0
2024-05-20,A1001,396663307831,-7834337691,-371968515201,-16860454939,0
2024-05-21,A1001,-327244512855,-67124226196,500155148331,-105786409280,0
2024-05-22,A1001,-33004053106,865282014,-264655909973,296794681065,0
2024-05-23,A1001,-371055667018,30250475590,-15925270152,356730461580,0
2024-05-24,A1001,-922091932144,-10516513327,1240624051727,-308015606256,0
2024-05-27,A1001,325928135636,-8906345349,-175991264562,-141030525725,0
2024-05-28,A1001,119562079303,-11316117441,-153566604326,45320642464,0
2024-05-29,A1001,-258165987157,7777024096,1272412768705,-1022023805644,0
2024-05-30,A1001,-447740007232,34667058283,1190684879313,-777611930364,0
2024-05-31,A1001,1065402833699,-6674642057,281198129004,-1339926320646,0
2024-06-03,A1001,233850074757,6344813312,-423020604535,182825716466,0
2024-06-04,A1001,-316037351589,3059996786,516732180593,-203754825790,0
2024-06-05,A1001,-259625396366,118497572,-330579521499,590086420293,0
2024-06-07,A1001,158196938516,26048085501,-471534150374,287289126357,0
2024-06-10,A1001,-566989066161,-7486887716,556561083059,17914870818,0
2024-06-11,A1001,-118424463015,-1752069478,343628522736,-223451990243,0
2024-06-12,A1001,9875812280,-2848046093,-242976061851,235948295664,0
2024-06-13,A1001,-105500000974,-25987405234,-1407226804827,1538714211035,0
2024-06-14,A1001,-467226655929,-48678214586,-213615185924,729520056439,0
2024-06-17,A1001,-139841286505,-35926179063,313127613014,-137360147446,0
2024-06-18,A1001,-224025144340,-84264651710,-342793093577,651082889627,0
2024-06-19,A1001,549329338465,-71921164243,-751003482345,273595308123,0
2024-06-20,A1001,165375865951,-74890553505,-584548289495,494062977049,0
2024-06-21,A1001,-27985802991,-10798735234,379108807991,-340324269766,0
2024-06-24,A1001,45731146521,15814765057,467342664201,-528888575779,0
2024-06-25,A1001,243423681516,-5170552719,-297252413252,58999284455,0
2024-06-26,A1001,-304986695243,27145583391,-155655785247,433496897099,0
2024-06-27,A1001,-771142734637,844497372,254733099658,515565137607,0
2024-06-28,A1001,240486036446,14730254868,-284726571263,29510279949,0
